chrom	exon_start	exon_end	ensembl_exon_id	hgnc_symbol	ensembl_gene_id	gene_start	gene_end
10	52570800	52570936	ENSE00001093113	A1CF	ENSG00000148584	52559169	52645435
10	52573617	52573822	ENSE00001093114	A1CF	ENSG00000148584	52559169	52645435
10	52569654	52569802	ENSE00001142847	A1CF	ENSG00000148584	52559169	52645435
10	52623793	52623840	ENSE00001345617	A1CF	ENSG00000148584	52559169	52645435
10	52566327	52566640	ENSE00001345621	A1CF	ENSG00000148584	52559169	52645435
10	52645341	52645435	ENSE00001345632	A1CF	ENSG00000148584	52559169	52645435
10	52610425	52610567	ENSE00001462105	A1CF	ENSG00000148584	52559169	52645435
10	52566322	52566640	ENSE00001462112	A1CF	ENSG00000148584	52559169	52645435
10	52622649	52622741	ENSE00001675517	A1CF	ENSG00000148584	52559169	52645435
10	52588148	52588221	ENSE00001835328	A1CF	ENSG00000148584	52559169	52645435
10	52570804	52570936	ENSE00001844225	A1CF	ENSG00000148584	52559169	52645435
10	52566420	52566640	ENSE00002248470	A1CF	ENSG00000148584	52559169	52645435
10	52645341	52645387	ENSE00002297224	A1CF	ENSG00000148584	52559169	52645435
10	52587891	52588055	ENSE00003459832	A1CF	ENSG00000148584	52559169	52645435
10	52595834	52596072	ENSE00003470778	A1CF	ENSG00000148584	52559169	52645435
10	52601622	52601752	ENSE00003504609	A1CF	ENSG00000148584	52559169	52645435
10	52619602	52619745	ENSE00003539976	A1CF	ENSG00000148584	52559169	52645435
10	52575766	52576039	ENSE00003543429	A1CF	ENSG00000148584	52559169	52645435
10	52603748	52603882	ENSE00003546609	A1CF	ENSG00000148584	52559169	52645435
10	52580312	52580409	ENSE00003549326	A1CF	ENSG00000148584	52559169	52645435
10	52580312	52580409	ENSE00003554113	A1CF	ENSG00000148584	52559169	52645435
10	52573617	52573798	ENSE00003557162	A1CF	ENSG00000148584	52559169	52645435
10	52575766	52576039	ENSE00003567409	A1CF	ENSG00000148584	52559169	52645435
10	52587891	52588055	ENSE00003568134	A1CF	ENSG00000148584	52559169	52645435
10	52601622	52601752	ENSE00003579604	A1CF	ENSG00000148584	52559169	52645435
10	52595834	52596072	ENSE00003620759	A1CF	ENSG00000148584	52559169	52645435
10	52595834	52596072	ENSE00003628836	A1CF	ENSG00000148584	52559169	52645435
10	52573617	52573798	ENSE00003683587	A1CF	ENSG00000148584	52559169	52645435
10	52619602	52619745	ENSE00003686739	A1CF	ENSG00000148584	52559169	52645435
10	52603748	52603882	ENSE00003688232	A1CF	ENSG00000148584	52559169	52645435
10	52559169	52566640	ENSE00003708651	A1CF	ENSG00000148584	52559169	52645435
7	87225082	87225130	ENSE00000702254	ABCB1	ENSG00000085563	87133175	87342611
7	87196101	87196292	ENSE00000702381	ABCB1	ENSG00000085563	87133175	87342611
7	87133175	87133765	ENSE00001120813	ABCB1	ENSG00000085563	87133175	87342611
7	87230071	87230394	ENSE00001233532	ABCB1	ENSG00000085563	87133175	87342611
7	87342477	87342564	ENSE00001233541	ABCB1	ENSG00000085563	87133175	87342611
7	87230071	87230141	ENSE00001519138	ABCB1	ENSG00000085563	87133175	87342611
7	87230289	87230394	ENSE00001519140	ABCB1	ENSG00000085563	87133175	87342611
7	87214970	87214996	ENSE00001614244	ABCB1	ENSG00000085563	87133175	87342611
7	87229433	87229500	ENSE00001650244	ABCB1	ENSG00000085563	87133175	87342611
7	87342477	87342610	ENSE00001755344	ABCB1	ENSG00000085563	87133175	87342611
7	87232276	87232456	ENSE00001813908	ABCB1	ENSG00000085563	87133175	87342611
7	87135213	87135457	ENSE00001819299	ABCB1	ENSG00000085563	87133175	87342611
7	87230129	87230394	ENSE00001846593	ABCB1	ENSG00000085563	87133175	87342611
7	87342477	87342611	ENSE00001849149	ABCB1	ENSG00000085563	87133175	87342611
7	87144544	87144744	ENSE00001871559	ABCB1	ENSG00000085563	87133175	87342611
7	87160891	87161013	ENSE00001871933	ABCB1	ENSG00000085563	87133175	87342611
7	87148197	87148279	ENSE00001878865	ABCB1	ENSG00000085563	87133175	87342611
7	87133472	87133765	ENSE00001879840	ABCB1	ENSG00000085563	87133175	87342611
7	87150092	87150435	ENSE00001884096	ABCB1	ENSG00000085563	87133175	87342611
7	87175265	87175340	ENSE00001896537	ABCB1	ENSG00000085563	87133175	87342611
7	87179167	87179474	ENSE00001929030	ABCB1	ENSG00000085563	87133175	87342611
7	87135218	87135359	ENSE00001930354	ABCB1	ENSG00000085563	87133175	87342611
7	87166354	87166378	ENSE00001934525	ABCB1	ENSG00000085563	87133175	87342611
7	87133180	87133765	ENSE00001937735	ABCB1	ENSG00000085563	87133175	87342611
7	87229433	87229506	ENSE00002728072	ABCB1	ENSG00000085563	87133175	87342611
7	87199488	87199539	ENSE00003233570	ABCB1	ENSG00000085563	87133175	87342611
7	87174139	87174315	ENSE00003235942	ABCB1	ENSG00000085563	87133175	87342611
